조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),TN(㎎/L),TP(㎎/L),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),지점,평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2),NP_Ratio,Retention_Index,채수위치,유해남조류 세포수 (cells/㎖)
2016-04-11,8.8,8.2,13.3,2.9,1.7,4.5,1.154,0.022,67.29,664.255,44.6,1.5744,14.068,19.333,133.0,13.5,1.3222222222222222,6.8,19.2,52.45454545454545,34.358609631200544,문의,0.0
2016-04-11,8.7,8.2,12.8,2.2,2.0,5.8,2.1837941176470586,0.006970588235294118,67.29,664.255,44.6,1.5744,14.068,19.333,133.0,13.5,1.3222222222222222,6.8,19.2,313.4257703081232,34.358609631200544,추동,0.0
2016-04-11,7.9,8.0,12.5,2.5,1.2,5.2,3.1609411764705886,0.018794117647058822,67.29,664.255,44.6,1.5744,14.068,19.333,133.0,13.5,1.3222222222222222,6.8,19.2,169.3668730650155,34.358609631200544,회남,0.0
2016-04-12,8.842857142857143,8.128571428571428,13.12857142857143,2.9428571428571426,1.6142857142857143,4.485714285714286,1.1377142857142857,0.021285714285714286,67.38857142857144,668.8102857142857,44.9,1.3494857142857144,21.089285714285715,19.402714285714286,133.0,13.457142857142857,1.349206349206349,7.457142857142857,20.294285714285714,53.700534759358284,34.46758494958562,문의,0.0
2016-04-12,8.885714285714284,8.2,12.614285714285716,2.2142857142857144,2.0428571428571427,5.542857142857143,2.187,0.007,67.28,663.8,44.6,0.0,13.893,19.155,133.0,13.0,1.349206349206349,11.8,26.62,312.4285714285714,34.6541373009658,추동,0.0
2016-04-12,8.0,8.0,12.285714285714286,2.5,1.2142857142857142,5.342857142857143,3.156,0.019,67.28,663.8,44.6,0.0,13.893,19.155,133.0,13.0,1.349206349206349,11.8,26.62,166.10526315789474,34.6541373009658,회남,0.0
2016-04-13,8.885714285714286,8.057142857142857,12.957142857142857,2.9857142857142858,1.5285714285714285,4.4714285714285715,1.1214285714285714,0.02057142857142857,67.48714285714286,673.3655714285715,45.2,1.1245714285714286,28.11057142857143,19.47242857142857,133.0,13.414285714285715,1.3761904761904762,8.114285714285714,21.388571428571428,54.94652406417112,34.57656026797069,문의,0.0
2016-04-13,9.071428571428571,8.2,12.428571428571429,2.2285714285714286,2.085714285714286,5.285714285714286,2.2232499999999997,0.00725,67.39666666666668,669.1903333333333,44.95,0.0,22.113666666666667,19.266000000000002,133.0,13.033333333333333,1.3761904761904762,11.733333333333334,26.66,309.43877551020404,34.73202056078751,추동,0.0
2016-04-13,8.1,8.0,12.071428571428571,2.5,1.2285714285714286,5.485714285714286,3.1992857142857143,0.019428571428571427,67.39666666666668,669.1903333333333,44.95,0.0,22.113666666666667,19.266000000000002,133.0,13.033333333333333,1.3761904761904762,11.733333333333334,26.66,165.2051903953432,34.73202056078751,회남,0.0
2016-04-14,8.928571428571429,7.985714285714286,12.785714285714286,3.0285714285714285,1.4428571428571428,4.457142857142857,1.1051428571428572,0.019857142857142858,67.58571428571429,677.9208571428571,45.5,0.8996571428571429,35.13185714285714,19.542142857142856,133.0,13.371428571428572,1.403174603174603,8.771428571428572,22.482857142857142,56.19251336898395,34.68553558635577,문의,0.0
2016-04-14,9.257142857142856,8.2,12.242857142857144,2.242857142857143,2.1285714285714286,5.0285714285714285,2.2595,0.0075,67.51333333333334,674.5806666666666,45.300000000000004,0.0,30.334333333333333,19.377000000000002,133.0,13.066666666666666,1.403174603174603,11.666666666666668,26.7,306.4489795918367,34.80990382060922,추동,0.0
2016-04-14,8.2,8.0,11.857142857142858,2.5,1.2428571428571429,5.628571428571429,3.242571428571429,0.019857142857142858,67.51333333333334,674.5806666666666,45.300000000000004,0.0,30.334333333333333,19.377000000000002,133.0,13.066666666666666,1.403174603174603,11.666666666666668,26.7,164.30511763279165,34.80990382060922,회남,0.0
2016-04-15,9.442857142857143,8.2,12.057142857142857,2.257142857142857,2.1714285714285713,4.771428571428571,2.29575,0.00775,67.63,679.971,45.650000000000006,0.0,38.555,19.488,133.0,13.1,1.4301587301587302,11.600000000000001,26.740000000000002,303.45918367346934,34.88778708043094,추동,0.0
2016-04-15,8.3,8.0,11.642857142857142,2.5,1.2571428571428571,5.771428571428571,3.285857142857143,0.020285714285714285,67.63,679.971,45.650000000000006,0.0,38.555,19.488,133.0,13.1,1.4301587301587302,11.600000000000001,26.740000000000002,163.40504487024012,34.88778708043094,회남,0.0
