조사일,채수위치,TN(㎎/L),TP(㎎/L)
2017-07-24,문의,1.083,0.013
2017-07-31,문의,1.19,0.021
2017-08-02,추동,1.775,0.018
2017-08-02,회남,2.205,0.038
2017-08-07,문의,1.062,0.02
2017-08-14,문의,1.122,0.021
2017-08-21,문의,1.064,0.027
2017-08-28,문의,1.381,0.032
2017-09-04,문의,1.165,0.031
2017-09-07,추동,1.97,0.072
2017-09-07,회남,2.475,0.046
2017-09-11,문의,1.106,0.03
2017-09-18,문의,0.977,0.018
2017-09-25,문의,1.102,0.014
2017-10-10,문의,1.28,0.029
2017-10-11,추동,2.42,0.042
2017-10-11,회남,2.247,0.045
2017-10-16,문의,1.201,0.021
2017-10-23,문의,1.237,0.025
2017-10-30,문의,1.215,0.032
2017-11-06,문의,1.22,0.024
2017-11-09,추동,2.319,0.03
2017-11-09,회남,2.216,0.025
2017-11-13,문의,1.165,0.014
2017-11-20,문의,1.273,0.021
2017-11-27,문의,1.179,0.007
2017-12-04,문의,1.237,0.007
2017-12-07,추동,2.239,0.016
2017-12-07,회남,1.966,0.01
2017-12-11,문의,1.663,0.01
2017-12-18,문의,1.478,0.008
2017-12-26,문의,1.21,0.009
2018-01-02,문의,1.191,0.006
2018-01-04,추동,2.085,0.017
2018-01-04,회남,,
2018-01-08,문의,1.345,0.015
2018-01-15,문의,1.224,0.01
2018-01-22,문의,1.309,0.01
2018-01-29,문의,1.244,0.017
2018-02-05,문의,1.151,0.006
2018-02-06,추동,2.243,0.015
2018-02-06,회남,,
2018-02-12,문의,1.334,0.014
2018-02-20,문의,1.292,0.011
2018-02-28,문의,1.626,0.016
2018-03-05,문의,1.549,0.005
2018-03-09,추동,2.481,0.015
2018-03-09,회남,3.846,0.032
2018-03-12,문의,1.132,0.011
2018-03-19,문의,1.29,0.015
2018-03-26,문의,1.177,0.009
2018-04-02,문의,1.544,0.008
2018-04-03,추동,2.052,0.006
2018-04-03,회남,3.02,0.018
2018-04-09,문의,1.415,0.015
2018-04-16,문의,1.385,0.015
2018-04-23,문의,1.471,0.018
2018-04-30,문의,1.485,0.027
2018-05-08,문의,1.694,0.047
2018-05-11,추동,2.81,0.012
2018-05-11,회남,2.264,0.027
2018-05-14,문의,3.17,0.027
2018-05-21,문의,2.354,0.051
2018-05-28,문의,1.935,0.05
2018-06-04,문의,2.992,0.056
2018-06-05,추동,2.141,0.048
2018-06-05,회남,2.307,0.032
2018-06-11,문의,2.734,0.036
2018-06-18,문의,3.312,0.016
2018-06-25,문의,1.718,0.027
2018-07-02,문의,1.59,0.024
2018-07-05,추동,2.049,0.019
2018-07-05,회남,3.065,0.074
2018-07-09,문의,2.19,0.022
2018-07-16,문의,1.377,0.026
2018-07-23,문의,1.4,0.024
2018-07-30,문의,1.447,0.019
2018-08-06,문의,1.55,0.031
2018-08-06,추동,2.617,0.012
2018-08-06,회남,2.85,0.023
2018-08-13,문의,1.158,0.03
2018-08-20,문의,1.121,0.022
2018-08-27,문의,1.22,0.025
2018-09-04,추동,1.633,0.051
2018-09-04,회남,2.995,0.105
2018-10-01,문의,1.506,0.041
2018-10-08,문의,1.751,0.054
2018-10-11,추동,2.405,0.048
2018-10-11,회남,2.253,0.046
2018-10-15,문의,1.53,0.025
2018-10-22,문의,1.661,0.029
2018-10-29,문의,1.472,0.024
2018-11-09,추동,2.101,0.052
2018-11-09,회남,2.108,0.023
2018-11-12,문의,1.531,0.014
2018-11-12,문의,1.531,0.014
2018-11-19,문의,1.305,0.02
2018-11-26,문의,1.45,0.026
2018-12-03,문의,1.499,0.021
2018-12-04,추동,2.074,0.02
2018-12-04,회남,2.15,0.03
2018-12-10,문의,1.44,0.018
2018-12-17,문의,1.386,0.017
2018-12-24,문의,1.422,0.016
2019-01-03,추동,2.109,0.013
2019-01-03,회남,2.038,0.021
2019-01-07,문의,1.409,0.009
2019-01-14,문의,1.489,0.009
2019-01-21,문의,1.421,0.009
2019-01-28,문의,1.371,0.01
2019-02-07,문의,1.521,0.016
2019-02-08,추동,2.147,0.018
2019-02-08,회남,2.779,0.046
2019-02-11,문의,1.462,0.022
2019-02-18,문의,1.624,0.015
2019-02-25,문의,1.544,0.026
2019-03-04,문의,1.595,0.022
2019-03-05,추동,1.983,0.018
2019-03-05,회남,2.833,0.038
2019-03-11,문의,1.504,0.025
2019-03-18,문의,1.663,0.036
2019-03-25,문의,1.775,0.043
2019-04-01,문의,1.603,0.024
2019-04-04,추동,1.98,0.021
2019-04-04,회남,2.279,0.024
2019-04-08,문의,1.5,0.095
2019-04-15,문의,1.552,0.047
2019-04-22,문의,1.408,0.068
2019-04-29,문의,1.352,0.054
2019-05-03,추동,2.108,0.014
2019-05-03,회남,2.355,0.012
2019-05-07,문의,1.33,0.04
2019-05-13,문의,1.639,0.034
2019-05-20,문의,1.513,0.073
2019-05-27,문의,1.449,0.038
2019-06-03,문의,1.75,0.036
2019-06-03,추동,2.015,0.011
2019-06-03,회남,1.688,0.033
2019-06-10,문의,1.575,0.041
2019-06-17,문의,1.476,0.023
2019-06-24,문의,1.686,0.028
2019-07-01,문의,1.392,0.021
2019-07-04,추동,1.932,0.016
2019-07-04,회남,1.933,0.028
2019-07-08,문의,1.147,0.025
2019-07-15,문의,1.368,0.029
2019-07-22,문의,1.217,0.024
2019-07-29,문의,1.146,0.039
2019-08-01,추동,1.479,0.011
2019-08-01,회남,2.155,0.03
2019-08-05,문의,1.11,0.016
2019-08-12,문의,1.226,0.022
2019-08-19,문의,0.947,0.03
2019-08-26,문의,0.887,0.019
2019-09-02,문의,0.873,0.021
2019-09-04,추동,1.919,0.024
2019-09-04,회남,1.602,0.027
2019-09-09,문의,0.866,0.017
2019-09-16,문의,0.97,0.021
2019-09-23,문의,0.979,0.04
2019-09-30,문의,0.847,0.025
2019-10-02,추동,1.581,0.018
2019-10-02,회남,1.779,0.018
2019-10-07,문의,0.939,0.026
2019-10-14,문의,0.865,0.017
2019-10-21,문의,1.295,0.026
