조사일,채수위치,TN(㎎/L),TP(㎎/L)
2025-09-08,문의,1.216,0.024
2025-09-08,추동,0.562,0.011
2025-09-08,회남,0.629,0.016
2025-09-15,문의,1.182,0.021
2025-09-22,문의,1.193,0.017
2025-09-29,문의,1.18,0.02
2025-10-14,문의,1.14,0.015
2025-10-15,추동,0.938,0.014
2025-10-15,회남,1.46,0.034
2025-10-20,문의,1.207,0.015
2025-10-27,문의,1.067,0.014
2025-11-03,문의,1.312,0.017
2025-11-03,추동,1.293,0.011
2025-11-03,회남,1.161,0.016
2025-11-10,문의,1.287,0.015
2025-11-17,문의,1.25,0.012
2025-11-24,문의,1.404,0.012
2025-12-01,문의,1.485,0.016
2025-12-01,추동,1.334,0.007
2025-12-01,회남,1.338,0.007
2025-12-08,문의,1.234,0.013
2025-12-15,문의,1.462,0.018
2026-01-05,문의,1.322,0.018
2026-01-05,추동,1.45,0.008
2026-01-05,회남,1.5,0.007
2026-01-12,문의,1.425,0.015
2026-01-19,문의,1.362,0.023
2026-01-26,문의,1.492,0.015
2026-02-02,문의,1.377,0.008
2026-02-03,추동,1.369,0.009
2026-02-03,회남,,
2026-02-09,문의,1.345,0.013
2026-02-19,문의,1.355,0.011
2026-02-23,문의,1.393,0.009
