채수위치,조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2),TN(㎎/L),TP(㎎/L),NP_Ratio,Retention_Index,7일뒤_AI예측_세포수,조류경보제 발령 예상
추동,2024-12-30,9.3,7.2,10.1,2.8,1.8,7.1,140.0,73.3056,996.9883,66.91,0.0,11.619,32.146,6.7,0.0,2.1,5.55,,,,31.01438126049897,932.0,해제
추동,2025-01-06,8.5,7.1,10.4,2.9,1.8,4.8,0.0,73.13,986.6786,66.22,3.4313,12.02,33.032,2.0,1.8,1.2,4.69,,,,29.870386292080408,894.0,해제
추동,2025-02-03,6.0,7.1,11.2,4.1,1.2,5.7,0.0,72.4215,945.7247,63.47,0.1608,20.769,32.994,-1.4,0.2,9.0,15.17,,,,28.663535794386856,423.0,해제
추동,2025-02-10,4.8,7.0,12.1,3.4,1.5,6.7,0.0,72.2438,935.6146,62.79,0.0273,22.634,32.745,-2.6,0.0,5.1,10.56,,,,28.57274698427241,925.0,해제
추동,2025-03-04,5.2,7.2,12.7,2.9,7.7,7.1,0.0,71.8099,911.2009,61.15,3.5201,63.691,32.965,3.4,0.9,0.8,6.16,,,,27.641465190353404,1170.0,관심
추동,2025-03-24,7.2,7.3,12.1,4.5,1.6,1.5,0.0,71.7888,910.0236,61.08,0.0,22.14,35.056,16.6,0.0,8.3,19.25,,,,25.95913966225468,636.0,해제
추동,2025-04-14,8.8,7.8,11.3,2.3,2.3,4.8,0.0,71.347,885.5821,59.44,4.6288,26.864,32.58,5.1,6.2,0.9,9.1,,,,27.18177102516881,929.0,해제
추동,2025-06-02,16.9,8.0,9.4,4.3,1.3,3.4,0.0,70.2249,825.3096,55.39,0.0,19.725,77.684,20.4,0.0,0.0,9.34,,,,10.623932856186602,758.0,해제
추동,2025-06-16,21.7,8.1,8.9,2.4,2.0,7.6,38.0,69.3958,782.4408,52.51,9.7324,151.038,261.574,24.2,26.3,3.8,12.91,,,,2.991278949742711,596.0,해제
추동,2025-07-14,24.9,7.9,4.3,2.4,2.2,5.6,826.0,69.1723,771.1271,51.75,6.8218,20.209,45.835,23.4,20.9,4.0,16.43,,,,16.82397949165485,6841.0,관심
추동,2025-08-04,25.2,7.9,4.7,2.1,4.0,7.8,896.0,72.4774,948.9185,63.69,19.7962,129.492,49.572,28.4,11.4,6.2,20.96,,,,19.14222746711853,4333.0,관심
추동,2025-08-11,26.3,7.8,5.4,2.3,2.9,12.6,4228.0,72.1459,930.0724,62.42,4.9376,53.868,157.308,24.3,2.3,0.3,7.51,,,,5.912429119943042,1109.0,관심
추동,2025-08-25,27.0,7.9,4.0,1.7,2.9,16.0,7460.0,71.6228,900.793,60.46,0.0,15.078,47.895,30.3,0.0,8.6,22.17,,,,18.807662595260464,7059.0,관심
추동,2025-09-01,27.2,7.6,4.4,1.7,3.6,5.7,5412.0,71.3987,888.4215,59.63,21.7629,29.285,37.113,26.8,7.4,5.6,16.24,,,,23.93828308140005,16713.0,경계
추동,2025-09-08,27.1,7.8,4.8,1.6,6.8,8.9,15506.0,71.8292,912.2786,61.23,0.3021,182.35,37.997,22.2,0.0,0.1,7.38,,,,24.009227044240333,14959.0,경계
추동,2025-09-18,26.3,8.0,5.2,1.3,5.8,16.5,26209.0,72.7258,963.1881,64.64,0.6739,114.122,38.276,21.9,0.0,4.3,11.71,,,,25.16428310168252,26294.0,경계
추동,2025-09-25,25.6,7.7,6.3,1.5,6.7,16.9,26287.0,73.652,1017.5112,68.29,17.2494,80.727,65.556,22.2,14.8,0.0,3.67,,,,15.521252059308074,14524.0,경계
추동,2025-09-29,25.2,7.5,5.8,1.7,4.9,17.4,14209.0,73.6409,1016.8497,68.24,0.1676,95.542,32.889,19.9,0.0,4.7,13.08,,,,30.9176229134361,18380.0,경계
추동,2025-10-08,24.1,7.6,7.4,1.2,5.6,27.7,23868.0,74.767,1085.241,72.83,0.4559,277.031,31.326,21.2,1.3,1.7,9.18,,,,34.64345910745068,19052.0,경계
추동,2025-10-14,23.5,7.2,5.4,1.9,4.7,22.3,18134.0,75.3592,1122.249,75.32,14.3592,252.434,170.934,18.3,5.7,0.0,5.48,,,,6.565393660711152,1753.0,관심
추동,2025-10-16,23.5,7.5,7.5,1.6,6.9,21.3,17406.0,75.7111,1144.5801,76.82,29.7864,427.208,223.586,19.4,30.6,0.0,6.6,,,,5.119193956687806,1543.0,관심
추동,2025-12-29,9.4,7.6,10.0,3.2,1.4,5.4,206.0,74.28,1055.3452,70.83,1.7101,21.339,33.252,5.3,1.0,2.6,5.33,,,,31.73779622278359,878.0,해제
추동,2026-01-12,7.5,7.7,10.7,3.0,1.5,2.3,50.0,73.984,1037.4119,69.62,0.3237,17.198,33.182,-1.5,1.3,3.7,6.5,,,,31.264296907962148,702.0,해제
추동,2026-01-19,7.0,7.4,10.7,3.5,1.4,4.8,0.0,73.8281,1028.0388,69.0,0.0273,18.342,33.06,-1.0,0.6,3.9,7.56,,,,31.09615245009074,761.0,해제
추동,2026-02-02,4.8,7.6,11.8,4.0,1.4,3.3,268.0,73.49,1007.8827,67.64,1.2274,13.265,32.482,-1.9,2.4,7.1,11.79,,,,31.028960655132074,424.0,해제
추동,2026-03-03,6.2,7.7,12.2,3.2,2.2,4.1,244.0,72.94,975.5948,65.48,1.2027,19.73,31.173,6.9,0.1,3.6,12.68,,,,31.29614730696436,965.0,해제
추동,2026-03-09,6.2,7.8,12.2,3.5,2.3,4.7,349.0,72.928,974.8973,65.43,0.0923,25.778,31.16,2.8,0.0,3.5,9.35,,,,31.286819640564826,940.0,해제
추동,2026-03-30,8.6,7.9,11.4,3.8,1.5,4.0,98.0,72.509,950.7267,63.81,12.5493,17.416,31.205,12.9,11.3,0.7,6.98,,,,30.467127062970683,1069.0,관심
추동,2026-04-06,9.0,7.7,11.4,3.2,1.7,4.0,0.0,73.15,987.8496,66.3,11.1393,141.906,31.047,10.0,7.3,0.0,4.66,,,,31.817876123296937,1050.0,관심
추동,2026-04-20,12.7,8.1,11.0,3.4,2.0,3.8,0.0,73.801,1026.4146,68.89,0.1555,31.413,73.753,13.3,0.2,2.0,6.48,,,,13.916919989695336,854.0,해제
