유해남조류 세포수 (cells/㎖),7일 전_수온(℃),7일 전_pH,7일 전_DO(㎎/L),7일 전_투명도,7일 전_탁도,7일 전_Chl-a (㎎/㎥),7일 전_평균기온(°C),7일 전_일강수량(mm),7일 전_합계 일조시간(hr),7일 전_합계 일사량(MJ/m2),7일 전_TN(㎎/L),7일 전_TP(㎎/L),7일 전_N_P_비율,7일 전_체류시간_지표,7일 전_유해남조류 세포수 (cells/㎖)
0.0,8.8,8.2,13.3,2.9,1.7,4.5,6.8,0.4,4.1,9.97,1.003,0.04,25.074999373125014,32.50288954901431,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,-3.3,0.0,9.1,17.51,0.936,0.014,66.857138081633,31.001285148820227,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,2.9,0.0,1.6,9.29,0.765,0.017,44.99999735294133,32.59616520758365,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,3.0,0.0,10.6,19.68,0.986,0.014,70.42856639795954,30.92682429677945,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,9.0,0.0,3.2,9.72,0.873,0.01,87.29999127000087,36.44728270186867,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,4.4,0.0,6.0,11.89,1.119,0.009,124.33331951852009,37.92511593290204,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,9.5,0.0,10.3,21.51,0.93,0.006,154.99997416667097,34.771504535502025,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,9.4,0.0,11.6,24.33,1.07,0.013,82.30768597633185,36.4005788870078,0.0
0.0,8.8,8.2,13.3,2.9,1.7,4.5,13.5,0.0,6.8,19.2,1.154,0.022,52.45454307024804,34.181804147584,0.0
0.0,9.1,7.7,12.1,3.2,1.1,4.4,13.2,0.0,11.4,26.86,1.04,0.017,61.17646698961959,34.94513327644194,0.0
0.0,12.1,8.2,11.3,2.0,2.5,5.1,12.3,1.7,9.6,23.73,0.923,0.011,83.90908328099245,36.92709878753773,0.0
0.0,14.7,8.3,11.4,2.7,1.8,4.5,17.7,0.0,11.6,26.84,1.322,0.005,264.3999471200105,38.99208403863387,0.0
0.0,14.4,8.2,11.5,2.2,1.7,6.9,19.8,6.3,8.3,22.04,1.514,0.007,216.2856833877595,19.671944053227136,0.0
0.0,16.1,8.1,12.2,2.4,1.5,8.8,20.0,0.0,2.9,18.29,1.624,0.003,541.333152888949,14.372997344643842,0.0
0.0,17.0,8.4,11.4,4.3,1.4,7.4,15.9,5.2,11.7,29.91,1.25,0.004,312.4999218750195,15.368143601977795,0.0
0.0,19.9,8.2,11.9,4.9,1.2,3.3,23.1,0.0,10.5,26.78,1.402,0.006,233.66662772222867,9.9701426661301,0.0
3898.0,23.8,8.0,7.0,2.7,3.5,10.5,22.1,0.0,8.7,19.62,0.775,0.027,28.70370264060361,30.775921932677896,3862.0
3448.0,22.3,7.6,7.3,2.9,4.0,7.1,12.7,0.0,6.3,13.15,0.897,0.039,22.999999410256425,33.610169491525426,3898.0
860.0,21.4,8.6,6.7,3.3,2.5,6.8,17.6,1.0,6.9,14.43,1.459,0.036,40.52777665200621,34.05221867234646,3448.0
180.0,20.5,7.4,7.2,2.7,2.7,7.0,15.5,0.0,8.9,15.78,1.069,0.051,20.960783902729727,34.106732406356414,860.0
0.0,18.9,7.5,6.5,2.9,2.2,5.7,7.8,0.0,0.0,2.68,1.073,0.05,21.459999570800008,33.984608324213646,180.0
0.0,17.7,7.5,6.9,2.8,2.6,5.9,14.3,2.7,5.2,10.18,1.253,0.011,113.90908055371996,34.106702222222225,0.0
0.0,16.8,7.2,7.5,3.5,2.3,7.8,15.3,0.1,6.7,10.67,1.46,0.007,208.57139877551444,33.63699426036128,0.0
