"盒幅锅龋","螟沥家疙","斥/岿/老","雀瞒","版档","困档","盲荐矫阿","TN(Х/L)","TP(Х/L)"
"3008B40","措没达1","2017/01/02","1雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:55","1.435","0.028"
"3008B40","措没达1","2017/01/02","1雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:00","1.434","0.016"
"3008B40","措没达1","2017/01/02","1雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:05","1.424","0.015"
"3008B60","措没达2","2017/01/04","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","12:20","2.205","0.006"
"3008B50","措没达3","2017/01/04","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","12:30","2.229","0.008"
"3008B10","措没达4","2017/01/04","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","10:55","2.572","0.022"
"3008B30","措没达5(措没龋)","2017/01/04","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","11:50","2.543","0.005"
"3008B20","措没达6","2017/01/04","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","11:30","2.146","0.008"
"3008B60","措没达2","2017/01/04","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","12:20","2.254","0.012"
"3008B50","措没达3","2017/01/04","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","12:30","2.110","0.019"
"3008B10","措没达4","2017/01/04","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","10:55","2.682","0.021"
"3008B30","措没达5(措没龋)","2017/01/04","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","11:50","2.070","0.009"
"3008B20","措没达6","2017/01/04","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","11:30","2.387","0.007"
"3008B60","措没达2","2017/01/04","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","12:20","2.275","0.010"
"3008B50","措没达3","2017/01/04","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","12:30","2.574","0.008"
"3008B10","措没达4","2017/01/04","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","10:55","2.798","0.009"
