"盒幅锅龋","螟沥家疙","斥/岿/老","雀瞒","版档","困档","盲荐矫阿","TN(Х/L)","TP(Х/L)"
"3008B40","措没达1","2018/01/02","1雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:55","1.191","0.006"
"3008B40","措没达1","2018/01/02","1雀瞒 吝摸何","127∑29'44""","36∑22'16""","15:00","1.209","0.009"
"3008B40","措没达1","2018/01/02","1雀瞒 窍摸何","127∑29'44""","36∑22'16""","15:05","1.208","0.008"
"3008B60","措没达2","2018/01/04","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","12:20","2.085","0.017"
"3008B50","措没达3","2018/01/04","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","12:45","2.248","0.013"
"3008B10","措没达4","2018/01/04","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","11:00","",""
"3008B30","措没达5(措没龋)","2018/01/04","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","11:50","1.977","0.020"
"3008B20","措没达6","2018/01/04","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","11:20","2.053","0.011"
"3008B60","措没达2","2018/01/04","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","12:20","2.090","0.014"
"3008B50","措没达3","2018/01/04","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","12:45","2.255","0.014"
"3008B10","措没达4","2018/01/04","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","11:00","",""
"3008B30","措没达5(措没龋)","2018/01/04","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","11:50","1.806","0.012"
"3008B20","措没达6","2018/01/04","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","11:20","1.870","0.013"
"3008B60","措没达2","2018/01/04","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","12:20","2.178","0.017"
"3008B50","措没达3","2018/01/04","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","12:45","2.101","0.016"
"3008B10","措没达4","2018/01/04","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","11:00","",""
"3008B30","措没达5(措没龋)","2018/01/04","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","11:50","2.002","0.012"
"3008B20","措没达6","2018/01/04","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","11:20","2.373","0.014"
"3008B40","措没达1","2018/01/08","2雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:55","1.345","0.015"
"3008B40","措没达1","2018/01/08","2雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:00","1.309","0.008"
"3008B40","措没达1","2018/01/08","2雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:05","1.314","0.009"
"3008B40","措没达1","2018/01/15","3雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:45","1.224","0.010"
"3008B40","措没达1","2018/01/15","3雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:50","1.169","0.006"
"3008B40","措没达1","2018/01/15","3雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:55","1.243","0.006"
"3008B40","措没达1","2018/01/22","4雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:50","1.309","0.010"
"3008B40","措没达1","2018/01/22","4雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:55","1.359","0.012"
"3008B40","措没达1","2018/01/22","4雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:00","1.314","0.010"
"3008B40","措没达1","2018/01/29","5雀瞒 惑摸何","127∑29'44""","36∑22'16""","10:40","1.244","0.017"
"3008B40","措没达1","2018/01/29","5雀瞒 吝摸何","127∑29'44""","36∑22'16""","10:45","1.243","0.016"
"3008B40","措没达1","2018/01/29","5雀瞒 窍摸何","127∑29'44""","36∑22'16""","10:50","1.247","0.014"
"3008B40","措没达1","2018/02/05","1雀瞒 惑摸何","127∑29'44""","36∑22'16""","15:05","1.151","0.006"
"3008B40","措没达1","2018/02/05","1雀瞒 吝摸何","127∑29'44""","36∑22'16""","15:10","1.211","0.005"
"3008B40","措没达1","2018/02/05","1雀瞒 窍摸何","127∑29'44""","36∑22'16""","15:15","1.195","0.009"
"3008B60","措没达2","2018/02/06","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","11:20","2.243","0.015"
"3008B50","措没达3","2018/02/06","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","11:40","2.246","0.019"
"3008B10","措没达4","2018/02/06","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","00:00","",""
"3008B30","措没达5(措没龋)","2018/02/06","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","10:50","2.082","0.018"
"3008B20","措没达6","2018/02/06","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","00:00","",""
"3008B60","措没达2","2018/02/06","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","11:20","2.334","0.017"
"3008B50","措没达3","2018/02/06","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","11:40","2.073","0.017"
"3008B10","措没达4","2018/02/06","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","00:00","",""
"3008B30","措没达5(措没龋)","2018/02/06","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","10:50","2.106","0.017"
"3008B20","措没达6","2018/02/06","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","00:00","",""
"3008B60","措没达2","2018/02/06","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","11:20","2.227","0.021"
"3008B50","措没达3","2018/02/06","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","11:40","2.034","0.023"
"3008B10","措没达4","2018/02/06","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","00:00","",""
"3008B30","措没达5(措没龋)","2018/02/06","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","10:50","2.228","0.017"
"3008B20","措没达6","2018/02/06","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","00:00","",""
"3008B40","措没达1","2018/02/12","2雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:10","1.334","0.014"
"3008B40","措没达1","2018/02/12","2雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:20","1.180","0.007"
"3008B40","措没达1","2018/02/12","2雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:30","1.247","0.014"
"3008B40","措没达1","2018/02/20","3雀瞒 惑摸何","127∑29'44""","36∑22'16""","11:00","1.292","0.011"
"3008B40","措没达1","2018/02/20","3雀瞒 吝摸何","127∑29'44""","36∑22'16""","11:00","1.195","0.011"
"3008B40","措没达1","2018/02/20","3雀瞒 窍摸何","127∑29'44""","36∑22'16""","11:00","1.165","0.015"
"3008B40","措没达1","2018/02/28","4雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:40","1.626","0.016"
"3008B40","措没达1","2018/02/28","4雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:50","1.679","0.022"
"3008B40","措没达1","2018/02/28","4雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:00","1.523","0.013"
"3008B40","措没达1","2018/03/05","1雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:25","1.549","0.005"
"3008B40","措没达1","2018/03/05","1雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:30","1.558","0.007"
"3008B40","措没达1","2018/03/05","1雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:35","1.539","0.006"
"3008B60","措没达2","2018/03/09","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","15:30","2.481","0.015"
"3008B50","措没达3","2018/03/09","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","15:50","2.767","0.013"
"3008B10","措没达4","2018/03/09","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","14:20","3.846","0.032"
"3008B30","措没达5(措没龋)","2018/03/09","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","15:00","2.270","0.013"
"3008B20","措没达6","2018/03/09","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","14:40","2.695","0.018"
"3008B60","措没达2","2018/03/09","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","15:30","2.781","0.015"
"3008B50","措没达3","2018/03/09","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","15:50","2.171","0.018"
"3008B10","措没达4","2018/03/09","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","14:20","3.727","0.032"
"3008B30","措没达5(措没龋)","2018/03/09","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","15:00","2.441","0.012"
"3008B20","措没达6","2018/03/09","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","14:40","2.931","0.016"
"3008B60","措没达2","2018/03/09","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","15:30","2.204","0.016"
"3008B50","措没达3","2018/03/09","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","15:50","2.122","0.025"
"3008B10","措没达4","2018/03/09","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","14:20","2.979","0.019"
"3008B30","措没达5(措没龋)","2018/03/09","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","15:00","2.701","0.011"
"3008B20","措没达6","2018/03/09","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","14:40","2.468","0.014"
"3008B40","措没达1","2018/03/12","2雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:20","1.132","0.011"
"3008B40","措没达1","2018/03/12","2雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:25","1.125","0.010"
"3008B40","措没达1","2018/03/12","2雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:30","1.100","0.009"
"3008B40","措没达1","2018/03/19","3雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:40","1.290","0.015"
"3008B40","措没达1","2018/03/19","3雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:45","1.230","0.012"
"3008B40","措没达1","2018/03/19","3雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:50","1.276","0.009"
"3008B40","措没达1","2018/03/26","4雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:15","1.177","0.009"
"3008B40","措没达1","2018/03/26","4雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:20","1.172","0.006"
"3008B40","措没达1","2018/03/26","4雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:25","1.175","0.006"
"3008B40","措没达1","2018/04/02","1雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:55","1.544","0.008"
"3008B40","措没达1","2018/04/02","1雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:00","1.240","0.007"
"3008B40","措没达1","2018/04/02","1雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:05","1.285","0.005"
"3008B60","措没达2","2018/04/03","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","12:25","2.052","0.006"
"3008B50","措没达3","2018/04/03","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","12:45","1.826","0.009"
"3008B10","措没达4","2018/04/03","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","10:55","3.020","0.018"
"3008B30","措没达5(措没龋)","2018/04/03","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","11:50","2.943","0.016"
