"盒幅锅龋","螟沥家疙","斥/岿/老","雀瞒","版档","困档","盲荐矫阿","TN(Х/L)","TP(Х/L)"
"3008B40","措没达1","2015/01/05","1雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:25","1.798","0.009"
"3008B40","措没达1","2015/01/05","1雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:25","1.851","0.011"
"3008B40","措没达1","2015/01/05","1雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:25","1.849","0.012"
"3008B60","措没达2","2015/01/06","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","13:25","2.283","0.008"
"3008B50","措没达3","2015/01/06","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","13:45","2.289","0.008"
"3008B10","措没达4","2015/01/06","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","00:00","",""
"3008B30","措没达5(措没龋)","2015/01/06","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","11:30","2.284","0.006"
"3008B20","措没达6","2015/01/06","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","11:05","2.475","0.008"
"3008B60","措没达2","2015/01/06","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","13:25","2.266","0.009"
"3008B50","措没达3","2015/01/06","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","13:45","2.310","0.007"
"3008B10","措没达4","2015/01/06","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","00:00","",""
"3008B30","措没达5(措没龋)","2015/01/06","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","11:30","2.421","0.006"
"3008B20","措没达6","2015/01/06","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","11:05","2.530","0.007"
"3008B60","措没达2","2015/01/06","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","13:25","2.289","0.007"
"3008B50","措没达3","2015/01/06","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","13:45","2.318","0.008"
"3008B10","措没达4","2015/01/06","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","00:00","",""
"3008B30","措没达5(措没龋)","2015/01/06","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","11:30","2.349","0.006"
"3008B20","措没达6","2015/01/06","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","11:05","2.673","0.007"
"3008B40","措没达1","2015/01/12","2雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:50","1.403","0.009"
"3008B40","措没达1","2015/01/12","2雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:50","1.484","0.009"
"3008B40","措没达1","2015/01/12","2雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:50","1.444","0.009"
"3008B40","措没达1","2015/01/19","3雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:20","1.501","0.015"
"3008B40","措没达1","2015/01/19","3雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:20","1.531","0.015"
"3008B40","措没达1","2015/01/19","3雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:20","1.522","0.013"
"3008B40","措没达1","2015/01/26","4雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:25","1.509","0.007"
"3008B40","措没达1","2015/01/26","4雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:25","1.534","0.008"
"3008B40","措没达1","2015/01/26","4雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:25","1.501","0.008"
"3008B40","措没达1","2015/02/02","1雀瞒 惑摸何","127∑29'44""","36∑22'16""","14:20","1.615","0.010"
"3008B60","措没达2","2015/02/02","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","14:30","1.121","0.016"
"3008B50","措没达3","2015/02/02","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","14:05","1.127","0.014"
"3008B10","措没达4","2015/02/02","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","00:00","",""
"3008B30","措没达5(措没龋)","2015/02/02","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","12:35","1.037","0.014"
"3008B20","措没达6","2015/02/02","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","12:05","1.103","0.014"
"3008B40","措没达1","2015/02/02","1雀瞒 吝摸何","127∑29'44""","36∑22'16""","14:21","1.608","0.013"
"3008B60","措没达2","2015/02/02","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","14:30","1.119","0.015"
"3008B50","措没达3","2015/02/02","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","14:05","1.144","0.016"
"3008B10","措没达4","2015/02/02","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","00:00","",""
"3008B30","措没达5(措没龋)","2015/02/02","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","12:35","1.104","0.014"
"3008B20","措没达6","2015/02/02","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","12:05","1.075","0.015"
"3008B40","措没达1","2015/02/02","1雀瞒 窍摸何","127∑29'44""","36∑22'16""","14:22","1.606","0.011"
"3008B60","措没达2","2015/02/02","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","14:30","1.117","0.015"
"3008B50","措没达3","2015/02/02","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","14:05","1.077","0.017"
"3008B10","措没达4","2015/02/02","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","00:00","",""
"3008B30","措没达5(措没龋)","2015/02/02","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","12:35","1.082","0.015"
"3008B20","措没达6","2015/02/02","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","12:05","1.126","0.015"
"3008B40","措没达1","2015/02/09","2雀瞒 惑摸何","127∑29'44""","36∑22'16""","13:40","1.475","0.009"
"3008B40","措没达1","2015/02/09","2雀瞒 吝摸何","127∑29'44""","36∑22'16""","13:41","1.399","0.010"
"3008B40","措没达1","2015/02/09","2雀瞒 窍摸何","127∑29'44""","36∑22'16""","13:42","1.423","0.010"
